52000464;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000549;5200-120;22 680;9 500;13 180;139 %;167;96,80 %
52000240;5200-125;189 000;194 063;-5 063;-3 %;168;97,40 %
52000456;5200-120;153 864; -   ;153 864;0 %;176;102,00 %
52000451;5200-120;5 874;32 040;-26 166;-82 %;86,5;88,70 %
52000343;5200-135;18 600; -   ;18 600;0 %;15,5;9,00 %
52000194;5200-125;178 500;173 250;5 250;3 %;171,5;99,40 %
52000369;5200-120;12 351;47 500;-35 149;-74 %;134;81,50 %
52000049;5200-120;80 488;93 000;-12 513;-13 %;85;66,70 %
52000462;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000341;5200-135;205 400;224 250;-18 850;-8 %;158;91,60 %
52000353;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000254;5200-120;9 856;37 500;-27 645;-74 %;179,5;104,10 %
52000014;5200-120;202 043;171 825;30 218;18 %;170,5;103,30 %
52000435;5200-125;54 375;136 400;-82 025;-60 %;75;100,00 %
52000239;5200-135;255 525;157 163;98 363;63 %;221;128,10 %
52000459;5200-125;133 400; -   ;133 400;0 %;116;67,20 %
52000266;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000436;5200-125;137 238;155 625;-18 388;-12 %;134,5;99,60 %
52000358;5200-125;32 775;115 000;-82 225;-72 %;28,5;29,20 %
52000338;5200-120;9 775; -   ;9 775;0 %;11,5;6,70 %
52000434;5200-120;6 525; -   ;6 525;0 %;9;5,20 %
52000191;5200-120;142 274;123 760;18 514;15 %;160;92,80 %
52000305;5200-135;149 640;153 150;-3 510;-2 %;132;97,80 %
52000220;5200-120;103 214;149 625;-46 412;-31 %;131,5;76,20 %
52000219;5200-120;49 400;52 000;-2 600;-5 %;83,5;92,80 %
52000448;5200-120;163 968;168 360;-4 392;-3 %;168;97,40 %
52000390;5200-135;177 500;172 500;5 000;3 %;177,5;102,90 %
52000428;5200-135;132 870;81 120;51 750;64 %;112;106,70 %
