52000398;5200-120;163 070;142 570;20 500;14 %;162;113,70 %
52000383;5200-120;111 839;108 000;3 839;4 %;134;94,00 %
52000407;5200-135; -   ;140 000;-140 000;-100 %;63,5;44,60 %
52000252;5200-120;73 755;114 000;-40 246;-35 %;91;67,40 %
52000350;5200-120;127 070;124 645;2 425;2 %;132,5;93,00 %
52000173;5200-125;193 800;162 000;31 800;20 %;161,5;113,30 %
52000549;5200-120;37 525;9 500;28 025;295 %;127,5;89,50 %
52000240;5200-125;164 813;151 875;12 938;9 %;146,5;102,80 %
52000451;5200-120;12 825; -   ;12 825;0 %;36,5;25,60 %
52000343;5200-135;9 600; -   ;9 600;0 %;8;5,60 %
52000194;5200-125;132 300;144 375;-12 075;-8 %;126;98,80 %
52000369;5200-120;62 836;92 500;-29 664;-32 %;147,75;103,70 %
52000049;5200-120;39 600;81 650;-42 050;-52 %;70;51,90 %
52000341;5200-135;189 800;185 250;4 550;2 %;146;102,50 %
52000353;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000318;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000298;5200-125;62 002;67 500;-5 498;-8 %;86,5;64,10 %
52000254;5200-120; -   ; -   ;0;0 %;137,5;96,50 %
52000014;5200-120;190 785;148 125;42 660;29 %;161;113,00 %
52000435;5200-125;37 631;42 150;-4 519;-11 %;52,5;36,80 %
52000239;5200-135;225 339;156 450;68 889;44 %;160;118,50 %
52000384;5200-120;75 695;64 750;10 945;17 %;153;107,40 %
52000266;5200-135;20 125; -   ;20 125;0 %;17,5;12,30 %
52000436;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000358;5200-125;99 324;124 080;-24 756;-20 %;89;78,10 %
52000434;5200-120;102 412;114 000;-11 589;-10 %;119,5;83,90 %
52000144;5200-125;112 696;114 000;-1 305;-1 %;131,5;92,30 %
52000191;5200-120;1 040; -   ;1 040;0 %;6,5;0,00 %
52000305;5200-135;166 475;162 165;4 310;3 %;144,5;107,00 %
52000220;5200-120;8 713;78 375;-69 662;-89 %;9;7,50 %
52000219;5200-120;104 520;111 800;-7 280;-7 %;123;86,30 %
52000448;5200-120; -   ;137 760;-137 760;-100 %; -   ;0,00 %
52000390;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000428;5200-135;187 442;118 560;68 882;58 %;158;110,90 %
