52000451;5200-120; 113 616 ; 16 625 ;96 991;583 %; 129,00 ;81,9 %
52000343;5200-135; 64 305 ; 81 750 ;-17 445;-21 %; 68,00 ;43,2 %
52000194;5200-125; 144 375 ; 141 750 ;2 625;2 %; 152,00 ;101,3 %
52000369;5200-120; 23 680 ; -   ;23 680;0 %; 107,00 ;67,9 %
52000049;5200-120; 169 940 ; 167 500 ;2 440;1 %; 175,50 ;111,4 %
52000462;5200-135; -   ; -   ;0;0 %; -   ;0,0 %
52000341;5200-135; 178 750 ; 204 750 ;-26 000;-13 %; 137,50 ;96,5 %
52000353;5200-135; -   ; -   ;0;0 %; -   ;0,0 %
52000254;5200-120; -   ; -   ;0;0 %; -   ;0,0 %
52000435;5200-125; 96 372 ; 123 600 ;-27 228;-22 %; 134,50 ;85,4 %
52000239;5200-135; 218 455 ; 199 170 ;19 285;10 %; 189,50 ;140,4 %
52000459;5200-125; 188 172 ; 172 500 ;15 672;9 %; 171,00 ;108,6 %
52000266;5200-135; 194 700 ; 157 500 ;37 200;24 %; 177,00 ;112,4 %
52000436;5200-125; -   ; -   ;0;0 %; -   ;0,0 %
52000358;5200-125; 174 800 ; 172 500 ;2 300;1 %; 152,00 ;96,5 %
52000338;5200-120; -   ; -   ;0;0 %; -   ;0,0 %
52000434;5200-120; 79 917 ; -   ;79 917;0 %; 91,00 ;57,8 %
52000191;5200-120; 131 360 ; 139 360 ;-8 000;-6 %; 129,50 ;82,2 %
52000305;5200-135; 156 635 ; 179 235 ;-22 600;-13 %; 138,50 ;87,9 %
52000220;5200-120; 106 428 ; 130 625 ;-24 197;-19 %; 133,50 ;84,8 %
52000219;5200-120; 118 040 ; 132 600 ;-14 560;-11 %; 149,50 ;94,9 %
52000448;5200-120; 124 544 ; 131 760 ;-7 216;-5 %; 132,00 ;88,0 %
52000390;5200-135; 199 500 ; 157 500 ;42 000;27 %; 199,50 ;126,7 %
52000428;5200-135; 196 108 ; 131 040 ;65 068;50 %; 168,00 ;106,7 %
