52000049; 161 989 ; 183 750 ;-21 761;-12 %; 174,50 ;105,8 %
52000462; 98 280 ; 60 000 ;38 280;64 %; 104,00 ;63,0 %
52000341; 187 850 ; 214 500 ;-26 650;-12 %; 144,50 ;91,7 %
52000353; -   ; -   ;0;0 %; -   ;0,0 %
52000254; -   ; -   ;0;0 %; -   ;0,0 %
52000435; 81 508 ; 106 875 ;-25 367;-24 %; 164,00 ;99,4 %
52000239; 241 390 ; 210 300 ;31 090;15 %; 208,50 ;126,4 %
52000459; 125 246 ; 150 000 ;-24 754;-17 %; 138,00 ;83,6 %
52000266; 203 500 ; 135 000 ;68 500;51 %; 185,00 ;112,1 %
52000358; 165 600 ; 150 000 ;15 600;10 %; 144,00 ;101,1 %
52000338; 125 082 ; 150 750 ;-25 668;-17 %; 127,00 ;77,0 %
52000434; 144 931 ; 132 000 ;12 931;10 %; 166,00 ;100,6 %
52000191; 145 600 ; 165 360 ;-19 760;-12 %; 157,50 ;95,5 %
52000220; 64 570 ; 57 000 ;7 570;13 %; 145,00 ;87,9 %
52000219; 104 365 ; 130 000 ;-25 635;-20 %; 173,00 ;104,8 %
52000448; 171 064 ; 159 000 ;12 064;8 %; 171,00 ;103,6 %
52000390; 184 000 ; 165 000 ;19 000;12 %; 184,00 ;111,5 %
52070701; 12 000 ; -   ;12 000;0 %; 10,00 ;6,1 %
52070702; 49 463 ; -   ;49 463;0 %; 54,50 ;50,5 %
52070703; -   ; -   ;0;0 %; -   ;0,0 %
52000428; 169 410 ; 112 320 ;57 090;51 %; 136,00 ;106,7 %
