52000135;5200-125;169 520;149 625;19 895;13 %;163;114,40 %
52000080;5200-125;136 404;104 000;32 404;31 %;162,5;103,20 %
52000393;5200-125;88 676;138 000;-49 324;-36 %;114,5;72,70 %
52000324;5200-120;113 316;141 750;-28 434;-20 %;134,5;85,40 %
52000249;5200-120;49 117;13 350;35 767;268 %;73;46,30 %
52000438;5200-120;137 616;153 720;-16 104;-10 %;141;89,50 %
52000282;5200-120;76 536;126 825;-50 289;-40 %;141,5;89,80 %
52000433;5200-120;61 550;82 500;-20 950;-25 %;98;62,20 %
52000388;5200-135;165 550;126 000;39 550;31 %;165,5;105,10 %
52000372;5200-125;140 425;127 650;12 775;10 %;137;91,30 %
52000322;5200-135;157 650;135 563;22 088;16 %;137,75;87,50 %
52000381;5200-120;132 155;145 500;-13 345;-9 %;136,5;86,70 %
52000309;5200-120;70 994; -   ;70 994;0 %;139,25;88,40 %
52000026;5200-135;178 980;179 550;-570;0 %;157;99,70 %
52000208;5200-120;126 764;128 340;-1 576;-1 %;171;108,60 %
52000218;5200-120;139 359;124 400;14 959;12 %;164;104,10 %
52000377;5200-120;11 569;50 000;-38 431;-77 %;109,5;69,50 %
52000356;5200-125;124 584;117 180;7 404;6 %;116;73,70 %
52000280;5200-120;175 077;132 300;42 777;32 %;184,5;116,40 %
52000364;5200-120;119 565;122 800;-3 236;-3 %;144,25;91,60 %
52000304;5200-120;107 163;112 455;-5 292;-5 %;121,5;95,30 %
52000093;5200-120;164 322;128 880;35 442;28 %;173,5;110,20 %
52000162;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000443;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000569;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000339;5200-120;145 350;141 750;3 600;3 %;164;104,10 %
52000313;5200-125;64 445;122 000;-57 555;-47 %;155,5;98,70 %
52000025;5200-120;205 875;176 400;29 475;17 %;187,5;119,00 %
52000445;5200-125;169 575;165 375;;;161,5;102,50 %
52000212;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000315;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000024;5200-135;199 788;68 000;131 788;194 %;116,5;74,00 %
52000410;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
